Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1875.4860427560222,OUT049
FDW14,1591.761274078631,OUT017
NCN55,1822.672658617004,OUT010
FDQ58,2546.362959157392,OUT017
FDY38,5087.605400109229,OUT027
FDH56,1942.6371302122511,OUT046
FDL48,680.8000272442422,OUT018
FDC48,2806.0427441358866,OUT027
FDN33,1541.247755806772,OUT045
FDA36,3051.675735541097,OUT017
FDT44,2004.9816551032452,OUT017
FDQ56,1358.153340629099,OUT045
NCC54,1819.70816243565,OUT019
FDU11,2076.7501933506524,OUT049
DRL59,963.73658004298,OUT013
FDM24,2541.5716064996286,OUT049
FDI57,3047.57510309197,OUT045
DRC12,2726.590331793128,OUT018
NCM42,3196.322082094337,OUT027
FDA46,1129.0865932092934,OUT010
FDA31,2782.8531016284633,OUT013
NCJ31,3802.670858884001,OUT035
FDG52,863.6967323629367,OUT046
NCL19,383.6749739722943,OUT019
FDS10,2986.4040703131786,OUT035
FDX22,1453.2700642602767,OUT010
NCF19,998.531315281139,OUT035
NCE06,2519.8296088661223,OUT046
DRC27,3768.6660667896895,OUT046
FDE21,2044.9750562281502,OUT035
NCR42,-1251.1341145471438,OUT019
FDX51,2840.707683652799,OUT018
NCR06,510.7134768810497,OUT018
FDU31,4872.6616182120215,OUT027
FDU59,2684.9378118546256,OUT017
FDR03,4667.855182836751,OUT027
FDS49,2769.552144702106,OUT027
FDD48,-11.742853337761858,OUT010
NCF18,3083.5092213649127,OUT017
NCD43,3104.4140854002485,OUT027
NCD54,2007.8274969877766,OUT018
FDY19,23.56811324654575,OUT010
NCY54,2783.241558967812,OUT017
NCL19,2023.5214175263482,OUT018
FDP23,1509.3653428274201,OUT010
FDC26,1848.5794920752446,OUT013
FDR14,-931.0749455928528,OUT010
NCS41,2986.619667600747,OUT035
FDF41,3971.3364664503233,OUT035
FDU34,2004.5683173135988,OUT046
DRH11,984.1695289641893,OUT046
FDM03,1734.303406405875,OUT013
FDS31,2964.893326909248,OUT017
FDJ20,2116.7529678965666,OUT017
FDV44,4427.784808962078,OUT027
FDG02,3080.3282714018833,OUT049
FDA09,2877.9901004558055,OUT013
FDT04,743.8136889644113,OUT013
FDL58,2224.430519922796,OUT019
FDE52,1472.2979119940533,OUT045
FDW12,2500.3276177548005,OUT035
FDL51,3499.171631751452,OUT017
NCY42,3669.3541994592997,OUT027
FDR07,1704.3865411049348,OUT017
FDN40,2341.925789890122,OUT045
FDB35,2975.9387231789146,OUT027
FDA22,2708.4019276470285,OUT017
NCL06,4020.093188584384,OUT046
FDI35,2889.386905085808,OUT013
NCW42,3358.9867537069463,OUT045
NCX06,2926.3408466167175,OUT049
