Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1878.0,OUT049
FDW14,1572.0,OUT017
NCN55,1886.0,OUT010
FDQ58,2592.0,OUT017
FDY38,5184.0,OUT027
FDH56,1926.0,OUT046
FDL48,660.0,OUT018
FDC48,2768.0,OUT027
FDN33,1512.0,OUT045
FDA36,3052.0,OUT017
FDT44,1976.0,OUT017
FDQ56,1288.0,OUT045
NCC54,1826.0,OUT019
FDU11,2050.0,OUT049
DRL59,920.0,OUT013
FDM24,2586.0,OUT049
FDI57,3088.0,OUT045
DRC12,2832.0,OUT018
NCM42,3156.0,OUT027
FDA46,1150.0,OUT010
FDA31,2800.0,OUT013
NCJ31,3810.0,OUT035
FDG52,802.0,OUT046
NCL19,362.0,OUT019
FDS10,2992.0,OUT035
FDX22,1482.0,OUT010
NCF19,846.0,OUT035
NCE06,2490.0,OUT046
DRC27,3854.0,OUT046
FDE21,1984.0,OUT035
NCR42,-1382.0,OUT019
FDX51,2920.0,OUT018
NCR06,452.0,OUT018
FDU31,4944.0,OUT027
FDU59,2684.0,OUT017
FDR03,4784.0,OUT027
FDS49,2748.0,OUT027
FDD48,-50.0,OUT010
NCF18,3064.0,OUT017
NCD43,3068.0,OUT027
NCD54,2020.0,OUT018
FDY19,-6.0,OUT010
NCY54,2752.0,OUT017
NCL19,2048.0,OUT018
FDP23,1554.0,OUT010
FDC26,1820.0,OUT013
FDR14,-1034.0,OUT010
NCS41,2970.0,OUT035
FDF41,3992.0,OUT035
FDU34,2006.0,OUT046
DRH11,926.0,OUT046
FDM03,1776.0,OUT013
FDS31,3052.0,OUT017
FDJ20,2092.0,OUT017
FDV44,4500.0,OUT027
FDG02,3118.0,OUT049
FDA09,2932.0,OUT013
FDT04,704.0,OUT013
FDL58,2302.0,OUT019
FDE52,1468.0,OUT045
FDW12,2476.0,OUT035
FDL51,3548.0,OUT017
NCY42,3652.0,OUT027
FDR07,1644.0,OUT017
FDN40,2364.0,OUT045
FDB35,2956.0,OUT027
FDA22,2716.0,OUT017
NCL06,4090.0,OUT046
FDI35,2928.0,OUT013
NCW42,3386.0,OUT045
NCX06,2930.0,OUT049
FDC37,3184.0,OUT027
FDZ14,1784.0,OUT018
DRG49,3974.0,OUT049
NCG06,3934.0,OUT045
DRC36,2748.0,OUT045
FDV21,50.0,OUT019
FDB53,2350.0,OUT046
DRP47,2054.0,OUT019
FDA14,2368.0,OUT013
DRC24,2548.0,OUT035
FDW21,1472.0,OUT018
NCH29,1530.0,OUT046
FDU58,3104.0,OUT013
FDY27,2924.0,OUT017
FDV56,1928.0,OUT035
FDT59,3654.0,OUT046
FDB23,3646.0,OUT046
FDR49,684.0,OUT045
FDB03,1938.0,OUT010
FDN39,2632.0,OUT045
FDX02,4980.0,OUT027
FDQ16,3184.0,OUT027
FDU35,1380.0,OUT018
NCT29,1940.0,OUT013
FDZ27,830.0,OUT046
FDN57,2328.0,OUT017
FDA03,2168.0,OUT018
FDZ36,2924.0,OUT045
NCU05,1304.0,OUT013
FDT39,2236.0,OUT018
FDK60,1724.0,OUT017
FDZ25,2860.0,OUT017
FDG12,2054.0,OUT046
DRB01,1142.0,OUT019
NCC43,5340.0,OUT027
FDX13,2030.0,OUT019
FDM22,1062.0,OUT049
FDJ03,2312.0,OUT027
FDU14,3728.0,OUT018
FDB33,654.0,OUT010
FDP27,2990.0,OUT046
FDO38,-646.0,OUT010
FDE28,5156.0,OUT027
FDO27,1660.0,OUT035
DRL23,3180.0,OUT027
FDS28,970.0,OUT046
FDX24,1556.0,OUT013
FDZ02,1716.0,OUT035
FDL46,1812.0,OUT045
FDS60,4292.0,OUT027
NCO06,588.0,OUT017
FDO16,1480.0,OUT035
FDC60,1558.0,OUT049
FDA48,3240.0,OUT018
FDZ36,4452.0,OUT027
FDK27,1872.0,OUT045
FDW23,412.0,OUT018
FDM14,1556.0,OUT018
FDM14,1800.0,OUT013
FDW60,2660.0,OUT018
FDE21,1920.0,OUT013
NCM42,1810.0,OUT035
FDY59,-350.0,OUT010
DRI49,1406.0,OUT049
FDT28,510.0,OUT019
FDQ22,456.0,OUT018
FDR60,1350.0,OUT049
FDC50,-398.0,OUT019
FDV24,2464.0,OUT013
DRF48,1050.0,OUT010
FDQ47,638.0,OUT046
DRN36,1702.0,OUT049
NCY06,2110.0,OUT035
FDE52,1636.0,OUT035
NCB54,1902.0,OUT045
NCF31,2478.0,OUT035
FDJ08,4432.0,OUT027
NCC07,1744.0,OUT017
NCD19,2332.0,OUT027
FDL46,2038.0,OUT049
FDM20,3828.0,OUT045
NCI06,910.0,OUT010
DRM11,4188.0,OUT035
NCH07,2224.0,OUT018
FDS23,2080.0,OUT013
FDO49,660.0,OUT018
FDS35,1174.0,OUT049
DRK39,1288.0,OUT045
DRI39,1070.0,OUT049
FDV04,2624.0,OUT017
NCN14,2946.0,OUT035
FDH08,3692.0,OUT013
FDS20,2902.0,OUT046
FDV40,1382.0,OUT049
FDZ48,-114.0,OUT010
FDS24,2924.0,OUT027
FDK44,2878.0,OUT049
FDS48,2340.0,OUT045
FDK26,1138.0,OUT010
FDD23,2980.0,OUT045
NCH54,2588.0,OUT017
NCP14,-258.0,OUT010
FDM60,-1142.0,OUT010
FDV24,2496.0,OUT017
FDH08,3384.0,OUT018
FDS12,3440.0,OUT027
FDR39,4316.0,OUT027
FDP12,2132.0,OUT027
DRF60,5196.0,OUT027
FDC09,1828.0,OUT035
FDF50,2928.0,OUT018
FDG28,4028.0,OUT035
NCE19,928.0,OUT017
NCM53,-194.0,OUT010
NCN18,1838.0,OUT049
FDF32,3280.0,OUT035
FDF11,3900.0,OUT013
DRI59,3694.0,OUT049
NCG54,2742.0,OUT035
FDM44,1630.0,OUT046
FDT57,3512.0,OUT018
FDV24,2410.0,OUT046
FDI50,1790.0,OUT019
FDS09,1004.0,OUT035
NCC31,3860.0,OUT027
FDQ07,1614.0,OUT019
FDC22,3156.0,OUT017
FDZ56,2694.0,OUT046
FDZ40,-1002.0,OUT019
FDS46,3404.0,OUT027
DRD24,2172.0,OUT045
FDV45,3088.0,OUT017
FDL26,2416.0,OUT045
FDA56,1748.0,OUT018
FDN27,1926.0,OUT046
FDM20,3998.0,OUT049
FDO16,1432.0,OUT017
FDL03,3284.0,OUT035
FDE58,1918.0,OUT046
FDI02,3296.0,OUT027
NCC55,-1254.0,OUT019
FDR03,3120.0,OUT018
FDB14,1640.0,OUT017
FDR45,3860.0,OUT013
NCN07,2112.0,OUT017
FDM51,-162.0,OUT019
FDT52,5364.0,OUT027
FDL26,2462.0,OUT046
NCZ42,3738.0,OUT046
DRI47,438.0,OUT019
FDW40,2340.0,OUT013
FDN34,2758.0,OUT046
FDS01,2948.0,OUT035
NCG55,1766.0,OUT045
FDC11,1508.0,OUT035
FDX35,3392.0,OUT018
NCB06,2498.0,OUT046
FDR09,2190.0,OUT019
FDC53,1652.0,OUT017
FDY45,4088.0,OUT013
FDA22,786.0,OUT010
FDE02,1620.0,OUT035
FDW21,1632.0,OUT045
FDV34,1270.0,OUT046
FDS59,1926.0,OUT049
NCW17,2088.0,OUT017
NCK54,1922.0,OUT046
FDG17,2022.0,OUT019
FDG35,2916.0,OUT017
FDD08,-1250.0,OUT010
NCO07,3380.0,OUT017
FDJ10,386.0,OUT010
FDW36,1756.0,OUT017
FDW21,-242.0,OUT010
FDY19,1988.0,OUT017
DRE03,844.0,OUT013
NCC55,730.0,OUT049
FDH52,-782.0,OUT010
FDO09,4308.0,OUT017
FDU43,3780.0,OUT045
FDX09,870.0,OUT010
FDH40,-506.0,OUT019
FDW58,1796.0,OUT017
FDC47,3652.0,OUT017
NCR41,1610.0,OUT035
DRG49,3952.0,OUT035
FDC52,3948.0,OUT027
FDY13,1222.0,OUT046
FDY35,852.0,OUT013
FDI35,2980.0,OUT017
NCU18,2318.0,OUT049
FDY33,2348.0,OUT018
FDC15,3920.0,OUT027
FDU01,3158.0,OUT049
NCU42,2658.0,OUT046
NCV29,2548.0,OUT018
NCY30,2944.0,OUT017
FDQ46,1902.0,OUT049
FDG58,3948.0,OUT027
FDK33,3468.0,OUT017
NCD07,1766.0,OUT045
NCX29,3676.0,OUT027
NCT42,2352.0,OUT013
DRN59,892.0,OUT035
FDI44,1388.0,OUT035
FDA45,2942.0,OUT049
FDP31,1048.0,OUT045
FDY01,1878.0,OUT046
FDT09,1968.0,OUT018
DRH03,2992.0,OUT027
FDA36,2736.0,OUT018
NCF31,2468.0,OUT017
FDG14,2590.0,OUT049
FDG28,5392.0,OUT027
FDU14,4086.0,OUT049
FDY47,262.0,OUT019
FDI56,1558.0,OUT049
DRD01,1032.0,OUT013
FDM22,974.0,OUT046
FDH33,744.0,OUT013
DRZ24,1952.0,OUT013
NCQ38,1658.0,OUT046
FDO16,2808.0,OUT027
FDU07,3816.0,OUT027
NCB07,3068.0,OUT013
FDU48,2040.0,OUT045
NCM43,2506.0,OUT045
FDR31,458.0,OUT010
DRK49,480.0,OUT018
NCI30,1918.0,OUT010
DRD60,2964.0,OUT017
NCG19,3650.0,OUT046
FDH12,1776.0,OUT035
FDM32,1620.0,OUT035
FDM27,2624.0,OUT035
NCU53,4032.0,OUT027
NCQ18,1530.0,OUT046
FDS10,2908.0,OUT013
FDB33,3956.0,OUT027
FDI12,1484.0,OUT013
NCW42,3496.0,OUT013
NCC06,1784.0,OUT018
FDW02,2164.0,OUT017
NCD43,1716.0,OUT017
FDM57,1164.0,OUT018
FDA58,3828.0,OUT017
FDK56,2934.0,OUT046
FDP52,3648.0,OUT045
FDW20,1780.0,OUT018
FDS52,1738.0,OUT049
NCT29,1632.0,OUT018
NCL54,2824.0,OUT013
FDC05,3112.0,OUT045
FDF34,3288.0,OUT035
FDP03,3488.0,OUT027
FDD32,-466.0,OUT010
FDZ10,1980.0,OUT045
FDZ40,996.0,OUT035
FDD51,504.0,OUT018
NCY30,930.0,OUT019
FDP58,3516.0,OUT017
FDV49,4256.0,OUT017
FDY24,-990.0,OUT019
NCO55,1736.0,OUT017
FDR13,2012.0,OUT017
FDS51,1116.0,OUT017
FDP26,1604.0,OUT045
NCB54,3456.0,OUT027
FDF32,3228.0,OUT017
FDN31,2760.0,OUT018
DRM48,684.0,OUT017
FDN20,2826.0,OUT049
DRL01,3746.0,OUT046
FDV56,1914.0,OUT049
DRH13,3180.0,OUT027
FDA03,2480.0,OUT017
FDF47,4984.0,OUT027
FDX32,2390.0,OUT046
FDX57,1750.0,OUT049
NCA30,2890.0,OUT045
FDO49,936.0,OUT013
FDL04,-226.0,OUT019
DRM48,724.0,OUT035
FDR16,3448.0,OUT013
NCC19,2760.0,OUT018
NCE42,3626.0,OUT045
FDY24,1036.0,OUT017
FDH19,2914.0,OUT049
FDJ46,2816.0,OUT013
FDN45,1638.0,OUT010
FDY08,2352.0,OUT035
FDZ37,1588.0,OUT035
NCT30,650.0,OUT045
DRY23,516.0,OUT018
NCZ30,1672.0,OUT018
FDC44,1568.0,OUT018
FDB45,1804.0,OUT035
FDY04,2704.0,OUT013
FDM27,2562.0,OUT046
FDZ43,3956.0,OUT017
FDT39,574.0,OUT019
NCC06,90.0,OUT019
FDL15,3888.0,OUT027
FDL57,4204.0,OUT017
FDU08,1602.0,OUT046
FDK40,4284.0,OUT017
FDQ12,1730.0,OUT010
FDS48,2516.0,OUT017
FDP09,3288.0,OUT045
FDW21,1798.0,OUT049
FDY25,3004.0,OUT035
DRE13,1468.0,OUT017
FDV43,-1186.0,OUT019
FDD22,1704.0,OUT045
FDM46,-466.0,OUT019
NCO30,1022.0,OUT010
FDM25,2814.0,OUT046
NCN41,2030.0,OUT049
FDU24,1484.0,OUT045
FDZ50,2966.0,OUT046
FDP45,4076.0,OUT013
NCM54,1902.0,OUT045
FDW10,910.0,OUT019
FDP20,2144.0,OUT017
FDK32,2478.0,OUT046
FDN52,1566.0,OUT049
FDM58,1776.0,OUT045
FDZ46,3220.0,OUT027
NCA18,1592.0,OUT018
FDD35,1978.0,OUT046
NCK31,878.0,OUT035
FDI40,3100.0,OUT027
FDT50,-290.0,OUT019
NCT06,2586.0,OUT046
FDT31,3096.0,OUT035
FDT45,1010.0,OUT049
FDT13,2916.0,OUT045
FDO50,1416.0,OUT045
NCU18,294.0,OUT010
NCR54,3158.0,OUT049
NCO18,2552.0,OUT018
FDU09,908.0,OUT045
FDT13,2764.0,OUT018
FDE09,1806.0,OUT046
NCK53,-302.0,OUT019
FDG45,3478.0,OUT049
DRH15,852.0,OUT035
FDO21,1726.0,OUT019
FDD14,4336.0,OUT027
FDC09,1718.0,OUT046
FDH45,2216.0,OUT027
FDV32,1054.0,OUT046
FDG12,2112.0,OUT035
FDS32,2352.0,OUT013
NCL55,3700.0,OUT018
DRE01,3916.0,OUT035
DRE15,1394.0,OUT049
NCL42,3790.0,OUT045
FDP31,1136.0,OUT013
FDN33,1320.0,OUT018
FDZ59,2654.0,OUT046
FDE45,950.0,OUT010
FDJ07,1956.0,OUT013
FDQ45,2780.0,OUT018
FDM33,4912.0,OUT027
FDO15,-582.0,OUT010
FDM46,1496.0,OUT013
FDR03,3280.0,OUT045
FDY49,2488.0,OUT018
FDQ60,1864.0,OUT045
FDW10,2926.0,OUT049
FDO51,934.0,OUT049
FDJ40,1584.0,OUT018
FDS20,2664.0,OUT018
FDU45,1908.0,OUT013
FDV02,2804.0,OUT035
FDN09,3842.0,OUT046
NCM55,4352.0,OUT027
FDN23,2128.0,OUT018
FDY31,414.0,OUT010
FDW03,-122.0,OUT010
FDD14,2878.0,OUT046
FDV23,2088.0,OUT017
DRI03,2732.0,OUT045
FDN13,1684.0,OUT035
FDF45,2512.0,OUT027
FDU46,1588.0,OUT035
FDB57,3706.0,OUT049
FDV12,1790.0,OUT049
FDQ58,2488.0,OUT013
NCA18,1884.0,OUT017
FDH52,1190.0,OUT049
FDM24,2216.0,OUT018
NCP43,4276.0,OUT027
NCO18,866.0,OUT019
FDM32,1596.0,OUT017
NCL07,692.0,OUT017
FDK03,4092.0,OUT013
FDP59,1788.0,OUT017
FDQ24,4078.0,OUT049
FDQ16,1540.0,OUT018
FDU44,2652.0,OUT013
FDH28,-1194.0,OUT010
FDV28,-1250.0,OUT019
FDM22,888.0,OUT045
FDR56,3150.0,OUT046
FDV39,3262.0,OUT049
FDU37,-538.0,OUT019
FDQ11,2162.0,OUT010
FDX02,3472.0,OUT045
NCS42,1204.0,OUT018
FDY57,3024.0,OUT027
FDB21,3910.0,OUT049
FDE28,3760.0,OUT017
FDQ55,1980.0,OUT017
FDA48,3622.0,OUT049
FDZ19,2680.0,OUT045
NCC43,3850.0,OUT045
NCV18,1258.0,OUT046
NCA42,2272.0,OUT018
FDY45,4078.0,OUT046
NCC30,2726.0,OUT045
FDM57,1476.0,OUT013
FDL09,782.0,OUT010
FDB09,3436.0,OUT027
FDT44,2004.0,OUT035
NCT06,4020.0,OUT027
FDX26,3022.0,OUT049
FDK32,2552.0,OUT013
DRA12,2302.0,OUT046
FDO46,1182.0,OUT010
FDE52,1528.0,OUT013
NCH42,3506.0,OUT045
FDV08,852.0,OUT035
FDB47,3092.0,OUT018
FDC28,-82.0,OUT010
FDD22,1806.0,OUT046
FDS07,3300.0,OUT027
DRI13,3376.0,OUT045
FDG32,3264.0,OUT018
FDU14,4052.0,OUT017
FDD28,-886.0,OUT019
NCP41,1800.0,OUT017
FDS08,2882.0,OUT049
FDX47,2488.0,OUT045
FDC53,-266.0,OUT019
FDQ19,3984.0,OUT035
FDL14,2448.0,OUT045
FDM33,1606.0,OUT019
FDA51,1772.0,OUT045
FDZ27,604.0,OUT018
FDT04,706.0,OUT046
DRC13,2190.0,OUT049
FDR16,4888.0,OUT027
FDQ03,5240.0,OUT027
FDE38,2764.0,OUT035
DRH23,2360.0,OUT027
FDT11,1138.0,OUT019
FDD09,2976.0,OUT035
FDR40,1332.0,OUT045
FDX07,3100.0,OUT017
FDR07,1664.0,OUT035
FDA51,1944.0,OUT017
FDT59,1770.0,OUT019
FDF20,3172.0,OUT017
FDR13,1824.0,OUT045
FDY26,3518.0,OUT049
FDW04,2232.0,OUT017
FDK52,3680.0,OUT017
FDN60,2606.0,OUT049
FDM09,854.0,OUT019
FDP46,1558.0,OUT049
FDB50,-658.0,OUT019
NCQ29,4134.0,OUT049
FDP16,5328.0,OUT027
FDX33,2376.0,OUT018
FDP07,1162.0,OUT010
FDN22,4022.0,OUT046
FDF39,4318.0,OUT049
FDS21,1152.0,OUT017
NCM42,1712.0,OUT013
FDK50,734.0,OUT019
DRF13,3800.0,OUT027
FDH35,2388.0,OUT018
FDP60,1416.0,OUT018
DRJ49,3548.0,OUT027
NCT42,426.0,OUT019
FDE38,2774.0,OUT049
FDI04,3310.0,OUT049
NCH54,2378.0,OUT045
FDT56,1126.0,OUT049
DRD15,3432.0,OUT018
FDV58,3112.0,OUT013
FDP21,3138.0,OUT049
FDH05,3768.0,OUT013
FDR10,4028.0,OUT027
NCP06,2266.0,OUT045
